order_id,order_date,customer_name,customer_email,product_category,product_name,quantity,unit_price,discount_percent,shipping_cost,region,payment_method,order_status
100810,21/03/2025,Mariam Khan,mariam.khan@hotmail.com,Beauty ,Sunscreen SPF50,1,$17.45,0.0,11.08,West ,PayPal,completed
100489,"February 28, 2025",Maria Sheikh,maria.sheikh@hotmail.com,Home & Kitchen,Cookware Set,6,136.42,0.0,4.14,South,paypal,pending
100799,2025-06-14,  Usman Smith  ,usman.smith@hotmail.com,Electronic,Laptop Stand,4,24.44,0.0,6.07,north,Debit Card,COMPLETED
100680,"February 06, 2025",  Omar Wilson  ,omar.wilson@gmail.com,clothing,Winter Coat,3 units,$117.21,0.0,5.02,North,PayPal,Returned
100898,2025/04/21,Zain Ali,zain.aligmail.com,beauty,Perfume 50ml,3,$52.15,10.0,6.9,SOUTH,debit card,returned
100656,"March 13, 2025",FAISAL MILLER,faisal.miller@hotmail.com,Sports & Outdoors,Dumbbell Set,7,,5.0,9.46,East,Credit Card,COMPLETED
100978,2025/03/14,Amna Smith,amna.smith@hotmail.com,Beauty ,Shampoo 500ml,6,$11.80,0.0,10.61,West,credit card,Returned
100816,2025/02/23,AMNA SHEIKH,amna.sheikh@outlook.com, Clothing,Cotton T-Shirt,unknown,$16.94,0.0,6.63,WEST,PayPal,Returned
100518,2025-01-18,kamran ali,kamran.ali@gmail.com,ELECTRONICS,Wireless Earbuds,4,38.83,0.0,3.87,EAST,Credit Card,COMPLETED
100228,"February 23, 2025",james taylor,james.taylor@outlook.com,BOOKS,Atomic Habits,2,17.29,10.0,9.16,West ,Cash on Delivery,returned
100698,11-05-2025,Omar Anderson,,Books,Python Crash Course,3,$30.28,,8.4,W,debit card,Completed
100132,15-01-2025,Fatima Wilson,fatima.wilson@gmail.com,clothing,Wool Sweater,1 units,45.05,0.0,9.85,SOUTH,cash on delivery,completed
100097,30-05-2025,Robert Johnson,robert.johnson@gmail.com,electronics,Wireless Earbuds,3 units,$35.63,0.0,7.99,North,CREDIT CARD,COMPLETED
100597,"April 05, 2025",JOHN DAVIS,john.davis@yahoo.com, Clothing,Denim Jacket,3,63.63,20.0,3.22,E,Debit Card,COMPLETED
100369,2025/06/06,Ayesha Sheikh,ayesha.sheikh@outlook.com,CLOTHING,Formal Shirt,1,$36.06,80.2,4.71,W,credit card,cancelled
100141,06-03-2025,  Imran Johnson  ,imran.johnson@gmail.com,Home&Kitchen,Cookware Set,4,$129.54,0.0,7.71,EAST,credit card,pending
100450,2025-06-26,  James Iqbal  ,james.iqbal@gmail.com,ELECTRONICS,Wireless Earbuds,7,$38.53,0.0,7.67,SOUTH,paypal,returned
100164,2025-05-16,Zainab Thomas,, Electronics,USB-C Hub,6,34.69,5.0,9.29,South,Credit Card,cancelled
101218,15/01/2025,Omar Ali,omar.ali@hotmail.com, Books ,The Pragmatic Programmer,3,$36.25,0.0,9.04,east,paypal,Cancelled
101173,2025-06-23,Fatima Malik,fatima.malik@hotmail.com,HOME & KITCHEN,Coffee Maker,5,67.44,0.0,7.06,N,debit card,cancelled
101272,05/02/2025,JOHN ALI,john.ali@gmail.com,ELECTRONICS,4K Monitor,6,$306.65,10.0,7.81,East,Credit Card,Cancelled
100630,12-02-2025,Sara Sheikh,sara.sheikh@outlook.com,Electronic,Bluetooth Speaker,6,60.79,0.0,8.6,N,paypal,returned
101263,27-02-2025,Sana Shah,sana.shah@yahoo.com,Books,Atomic Habits,5,17.03,15.0,6.52,EAST,paypal,Completed
100071,26-02-2025,Sarah Ahmed,sarah.ahmed@yahoo.com,electronics,Bluetooth Speaker,4,$60.08,0.0,9.47,NORTH,CREDIT CARD,pending
100595,03-05-2025,  Sara Malik  ,sara.malik@outlook.com,CLOTHING,Cotton T-Shirt,5,$16.09,0.0,8.29,,Cash on Delivery,returned
100018,2025-05-17,Mariam Ali,mariam.ali@gmail.com,beauty,Makeup Kit,3,39.56,10.0,11.05,,Credit Card,pending
100324,07/04/2025,Sara Ahmed,sara.ahmedyahoo.com,BEAUTY,Makeup Kit,3,$39.92,20.0,7.23,W,credit card,pending
100820,2025/01/23,Rabia Malik,rabia.malikoutlook.com,HOME & KITCHEN,Knife Set,4,38.78,0.0,2.25,WEST,paypal,Pending
100547,2025/01/04,Robert Malik,robert.malik@hotmail.com,books,Deep Work,7,18.8,5.0,9.51,SOUTH,credit card,Cancelled
100773,26/06/2025,Rabia Taylor,,Clothing,Running Shoes,1,$78.84,0.0,14.7,South,Debit Card,COMPLETED
100705,04-03-2025,Mariam Taylor,mariam.taylor@hotmail.com,Sports and Outdoors,Hiking Backpack,6,,0.0,8.6,East,credit card,completed
100558,10-04-2025,Omar Moore,omar.moore@gmail.com,sports & outdoors,Water Bottle,3,13.08,0.0,7.32,East,,Returned
100901,2025-04-28,Rabia Hussain,rabia.hussain@gmail.com,Clothing,Formal Shirt,6,$36.49,0.0,10.51,West ,Credit Card,cancelled
100513,20/04/2025,Hina Taylor,,books,Deep Work,6,$17.39,20.0,12.55,west,debit card,COMPLETED
100300,2025-06-27,David Miller,david.miller@outlook.com,Sports,Hiking Backpack,2,67.07,0.0,6.77,West,Cash on Delivery,cancelled
101314,2025/04/05,  Imran Iqbal  ,imran.iqbal@outlook.com, Electronics,USB-C Hub,1,$36.22,10.0,7.85,WEST,PayPal,COMPLETED
100585,"May 10, 2025",MARIA MOORE,maria.moore@gmail.com, Books ,Atomic Habits,5,$16.46,0.0,6.3,WEST,PayPal,Pending
100806,"May 05, 2025",maria iqbal,maria.iqbal@gmail.com, Books ,Sapiens,7,,,1.02,south,PayPal,returned
101238,2025/02/11,robert anderson,robert.anderson@outlook.com,BEAUTY,Shampoo 500ml,5,$12.04,0.0,5.42,East,Debit Card,completed
100350,2025/03/11,Ayesha Sheikh,ayesha.sheikh@hotmail.com, Electronics,USB-C Hub,-1,$33.66,0.0,6.39,EAST,Cash on Delivery,completed
100236,07-05-2025,RABIA HUSSAIN,rabia.hussain@yahoo.com,beauty,Face Serum,7,$20.32,0.0,5.25,,paypal,cancelled
101230,2025-01-02,Amna Miller,,BOOKS,Atomic Habits,5,$18.14,0.0,7.74,north,Debit Card,Returned
100009,2025-06-19,ahmed taylor,ahmed.taylor@outlook.com, Clothing,Wool Sweater,2,,0.0,9.29,south,cash on delivery,cancelled
100672,2025/05/22,Faisal Sheikh,faisal.sheikh@gmail.com,books,The Pragmatic Programmer,,$38.10,0.0,7.97,West ,cash on delivery,Completed
100642,12-06-2025,  Hassan Butt  ,hassan.butt@yahoo.com,home & kitchen,Blender,5,$52.56,10.0,11.39,SOUTH,debit card,Cancelled
100095,2025-05-31,Imran Sheikh,imran.sheikh@hotmail.com,Electronics,Smart Watch,unknown,,0.0,10.78,West ,Debit Card,returned
100684,23/04/2025,james smith,james.smith@hotmail.com,Electronics ,Wireless Earbuds,4,40.19,0.0,10.3,east,Cash on Delivery,Returned
100773,"March 04, 2025",Bilal Davis,bilal.davis@yahoo.com,Sports & Outdoors,Water Bottle,1,12.68,5.0,6.47,West ,debit card,completed
100179,2025-01-23,Kamran Wilson,kamran.wilson@gmail.com,Clothing,Cotton T-Shirt,4,$15.18,0.0,6.91,east,paypal,Returned
101286,2025-01-20,Omar Wilson,omar.wilson@yahoo.com,Beauty ,Shampoo 500ml,5,11.30,10.0,6.78,west,Credit Card,Pending
100017,2025/06/01,Nida Taylor,nida.taylor@hotmail.com,Books,Deep Work,7,0.01,5.0,3.63,W,Credit Card,returned
100606,24/05/2025,Michael Ali,michael.ali@yahoo.com,Beauty ,Makeup Kit,2,40.54,0.0,8.51, North,Credit Card,Returned
100394,03/01/2025,Mariam Hussain,mariam.hussain@hotmail.com,ELECTRONICS,Smart Watch,1,151.1,0.0,9.25,N,,COMPLETED
101279,"June 03, 2025",Zainab Brown,zainab.brown@gmail.com,books,Deep Work,8,$16.85,0.0,11.97,South,PayPal,returned
101073,2025/04/18,  Nida Hussain  ,nida.hussain@gmail.com,ELECTRONICS,Bluetooth Speaker,4,$63.00,20.0,8.26,West,credit card,Pending
100063,2025/02/01,Emily Hussain,emily.hussain@yahoo.com,BOOKS,Sapiens,6,18.62,0.0,13.17,EAST,paypal,cancelled
101086,2025/05/14,USMAN BUTT,usman.butt@outlook.com,Clothing,Cotton T-Shirt,4,$14.74,10.0,4.72,SOUTH,Cash on Delivery,Returned
101117,"February 28, 2025",John Brown,john.brown@gmail.com,Sports & Outdoors,Camping Tent,N/A,143.95,0.0,-0.11,East,PayPal,Completed
101291,16-05-2025,sana hussain,sana.hussain@yahoo.com,ELECTRONICS,Wireless Earbuds,N/A,$37.57,,9.21,N,cash on delivery,cancelled
100791,05-02-2025,  Faisal Raza  ,faisal.raza@hotmail.com,BOOKS,Python Crash Course,1,$29.82,0.0,6.94,N,cash on delivery,Completed
100977,2025/01/23,Amna Brown,amna.brown@hotmail.com,clothing,Cotton T-Shirt,,$15.59,0.0,3.95,East,paypal,Cancelled
100933,"June 14, 2025",RABIA MOORE,rabia.moore@outlook.com,Books,Sapiens,2,$20.55,0.0,9.72,EAST,PayPal,pending
100474,2025-04-26,zain raza,,electronics,Bluetooth Speaker,3,$0.01,5.0,7.37,EAST,credit card,cancelled
101139,2025-02-05,Amna Davis,amna.davis@gmail.com,home & kitchen,Air Fryer,3,$90.60,,8.02,S,debit card,Pending
100313,30-06-2025,Omar Johnson,omar.johnson@outlook.com,Sports,Camping Tent,3,,0.0,12.94,E,PayPal,Cancelled
100118,2025/01/14,Bilal Hussain,bilal.hussain@yahoo.com,Sports,Water Bottle,8,$13.95,5.0,10.54,east,credit card,Pending
100013,07/02/2025,ANNA SHEIKH,anna.sheikh@outlook.com,BEAUTY,Perfume 50ml,3,56.49,5.0,6.17,South,paypal,pending
100021,27/04/2025,emily smith,emily.smith@gmail.com,Sports & Outdoors,Water Bottle,3,13.12,0.0,8.92,E,Cash on Delivery,Returned
101182,2025/03/31,Nida Butt,nida.butt@outlook.com,Beauty,Sunscreen SPF50,6,16.83,0.0,9.71, North,Debit Card,Cancelled
100186,"March 21, 2025",kamran iqbal,kamran.iqbal@outlook.com, Electronics,Smart Watch,-3,$154.96,10.0,9.67,N,Cash on Delivery,Returned
100562,"June 08, 2025",  Faisal Malik  ,faisal.malik@gmail.com,clothing,Wool Sweater,2 units,43.55,0.0,6.39,south,Credit Card,Completed
100777,2025-05-27,  Kamran Smith  ,kamran.smith@gmail.com,ELECTRONICS,Smart Watch,N/A,$157.49,10.0,3.34,EAST,Cash on Delivery,completed
100348,25/01/2025,Robert Ahmed,robert.ahmed@gmail.com, Books ,Deep Work,1,19.75,10.0,5.14,West,paypal,Completed
100972,21/04/2025,  Robert Khan  ,robert.khan@outlook.com,Electronic,Webcam HD,6,50.33,10.0,1.29,East,credit card,returned
101027,"June 22, 2025",kamran wilson,kamran.wilson@yahoo.com,Electronic,Smart Watch,-3,140.55,65.6,4.67,,paypal,Pending
100740,04-02-2025,Robert Shah,robert.shah@yahoo.com,Beauty ,Shampoo 500ml,5,$12.00,0.0,6.05,South,Cash on Delivery,Completed
100043,04/06/2025,sarah smith,sarah.smith@gmail.com,BEAUTY,Face Serum,unknown,21.92,0.0,3.87,north,PayPal,COMPLETED
